,2009,2010,2011,2012,2013,2014,2015,2016,AggregateTravelTime,BldgArea,MedianHI,NumBike,NumWalk,NumWorkers_Transit,Salecount,Saleprice,TotalPopRace,TotalWhite,Tract,Under18,Year,pctC,pctM,pctR,TRACTCE,Shape_Area
54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-32128514.02,3201128645923.89,-666666666.0,0.0,0.0,0.0,0.10855263157894736,6503144.0,2075,37.93,1800,-0.0,2015,0.0,1.0,0.0,1800,0.000720169432408
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-32159511.14,3268057340521.27,-666666666.0,0.0,0.0,0.0,0.03618421052631579,2500000.0,2073,36.13,1800,-0.0,2016,0.0,1.0,0.0,1800,0.000720169432408
56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7677925443907.81,30536.0,0.0,2.84,26.1,0.14184397163120568,1713366.875,1617,31.79,2000,1.77,2009,0.0,1.0,0.0,2000,1.6410891317e-05
57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7699892562758.11,34063.0,0.0,1.3,24.95,0.11347517730496455,1305440.7777777778,1611,30.91,2000,1.56,2010,0.0,1.0,0.0,2000,1.6410891317e-05
58,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7697577027345.32,54167.0,0.0,3.34,30.38,0.02127659574468085,6300000.0,1646,30.13,2000,0.94,2011,0.0,1.0,0.0,2000,1.6410891317e-05
59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7746587162411.34,44773.0,0.0,3.31,32.03,0.07801418439716312,4508600.0,1633,30.31,2000,1.03,2012,0.0,1.0,0.0,2000,1.6410891317e-05
60,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7746587162411.34,72500.0,0.64,4.01,32.71,0.09219858156028367,19456650.0,1397,33.29,2000,0.54,2013,0.0,1.0,0.0,2000,1.6410891317e-05
61,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7548675913274.28,71442.0,0.53,4.01,35.96,0.0425531914893617,724083.3333333335,1321,32.17,2000,0.47,2014,0.0,1.0,0.0,2000,1.6410891317e-05
62,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7497435551994.89,61023.0,0.37,4.68,35.38,0.07092198581560284,1316990.8684210526,1368,33.04,2000,0.58,2015,0.0,1.0,0.0,2000,1.6410891317e-05
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7585383243081.29,61635.0,0.55,3.56,33.04,0.02127659574468085,1445125.0,1265,37.15,2000,0.48,2016,0.0,1.0,0.0,2000,1.6410891317e-05
64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12655353930656.14,148611.0,0.87,2.53,36.9,0.0075187969924812035,799777.777777778,2526,71.22,2100,0.3,2009,0.03648799696704405,0.8029259504222523,0.08979708547151631,2100,6.046406162899999e-05
65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12839211906790.98,163147.0,2.43,3.85,41.6,0.01879699248120301,685000.0,2880,72.85,2100,0.33,2010,0.06892702395393392,0.7651196189567865,0.09553401865154798,2100,6.046406162899999e-05
66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12674282530045.02,167737.0,2.5,4.49,42.38,0.03759398496240601,487500.0,3164,81.1,2100,0.37,2011,0.0694677261461187,0.7652084861704734,0.09398808829413004,2100,6.046406162899999e-05
67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12752800245727.6,170481.0,2.09,2.47,45.37,0.041353383458646614,1097088.888888889,3485,81.75,2100,0.39,2012,0.0693940663695014,0.7663000279735298,0.0934094130344199,2100,6.046406162899999e-05
